Year,County_of_Residence,County_of_Residence_FIPS,Births,Ave_Age_of_Mother,Ave_OE_Gestational_Age_Wks,Ave_LMP_Gestational_Age_Wks,Ave_Birth_Weight_gms,Ave_Pre_pregnancy_BMI,Ave_Number_of_Prenatal_Wks
2018-01-01,"Los Angeles County, CA",06037,110271,30.4,38.54,38.63,3260.45,26.6,12.19
2018-01-01,"Harris County, TX",48201,67095,28.82,38.19,38.32,3203.57,27.27,9.86
2018-01-01,"Cook County, IL",17031,61797,30.05,38.38,38.51,3230.21,27.13,10.88
2018-01-01,"Unidentified Counties, TX",48999,56295,26.89,38.26,38.42,3247.91,27.96,10.52
2018-01-01,"Maricopa County, AZ",04013,51854,28.69,38.44,38.53,3281.98,27.06,11.09
2018-01-01,"Unidentified Counties, GA",13999,41000,26.97,38.17,38.38,3197.04,28.46,11.24
2018-01-01,"San Diego County, CA",06073,40070,30.31,38.64,38.69,3300.06,26.06,11.86
2018-01-01,"Kings County, NY",36047,38574,30.39,38.68,38.73,3236.79,25.04,10.96
2018-01-01,"Unidentified Counties, VA",51999,38308,28.39,38.5,38.69,3276.37,28.05,11.37
2018-01-01,"Dallas County, TX",48113,38182,28.48,38.4,38.57,3235.31,25.92,9.77
2018-01-01,"Orange County, CA",06059,35679,30.98,38.63,38.7,3291.59,25.34,12.58
2018-01-01,"Unidentified Counties, KY",21999,33368,26.73,38.2,38.47,3258.37,28.26,11.92
2018-01-01,"Unidentified Counties, NC",37999,31164,27.52,38.35,38.62,3234.4,28.27,11.93
2018-01-01,"Miami-Dade County, FL",12086,31032,30.24,38.34,38.33,3227.87,25.84,11.9
2018-01-01,"Unidentified Counties, MO",29999,30650,27.16,38.42,38.58,3289.12,27.61,11.05
2018-01-01,"Unidentified Counties, OH",39999,30582,27.33,38.42,38.65,3303.36,27.84,11.54
2018-01-01,"Unidentified Counties, TN",47999,30395,26.78,38.26,38.44,3253.44,27.81,11.45
2018-01-01,"Unidentified Counties, IN",18999,29235,27.28,38.46,38.62,3310.46,27.98,11.46
2018-01-01,"San Bernardino County, CA",06071,28994,28.67,38.42,38.46,3246.52,27.49,11.23
2018-01-01,"Riverside County, CA",06065,28725,28.93,38.54,38.61,3288.23,27.29,11.37
2018-01-01,"Queens County, NY",36081,28042,30.72,38.58,38.7,3216.82,25.57,11.15
2018-01-01,"Tarrant County, TX",48439,27280,28.67,38.3,38.38,3240.75,27.36,9.35
2018-01-01,"Clark County, NV",32003,26773,28.85,38.4,38.58,3219.97,26.66,11.89
2018-01-01,"Bexar County, TX",48029,26562,28.25,38.18,38.31,3226.31,27.75,10.75
2018-01-01,"Unidentified Counties, MS",28999,25808,26.6,37.92,38.05,3128.06,28.93,11.61
2018-01-01,"King County, WA",53033,24347,31.57,38.73,38.9,3317.72,25.58,11.34
2018-01-01,"Unidentified Counties, OK",40999,23234,26.68,38.23,38.4,3273.12,28.06,10.82
2018-01-01,"Wayne County, MI",26163,22910,28.23,38.29,38.4,3175.08,28.2,11.57
2018-01-01,"Unidentified Counties, MN",27999,22480,28.85,38.58,38.74,3375.57,27.98,11.37
2018-01-01,"Unidentified Counties, AL",01999,22362,26.66,38.17,38.28,3198.29,28.47,10.53
2018-01-01,"Broward County, FL",12011,21928,30.35,38.31,38.4,3197.63,26.43,10.38
2018-01-01,"Unidentified Counties, IA",19999,21543,28.23,38.48,38.68,3348.98,27.82,11.75
2018-01-01,"Unidentified Counties, MI",26999,21406,27.83,38.65,38.85,3343.55,28.02,11.95
2018-01-01,"Unidentified Counties, IL",17999,21369,27.67,38.31,38.56,3291.15,28.51,12.11
2018-01-01,"Santa Clara County, CA",06085,21292,31.69,38.62,38.67,3262.08,25.44,11.92
2018-01-01,"Unidentified Counties, WI",55999,20974,28.89,38.62,38.83,3377.02,28.21,11.64
2018-01-01,"Philadelphia County, PA",42101,20691,28.82,38.35,38.43,3178.56,27.21,10.26
2018-01-01,"Unidentified Counties, AR",05999,20422,26.3,38.22,38.39,3215.35,28.48,10.38
2018-01-01,"Bronx County, NY",36005,20121,29.22,38.54,38.58,3194.43,27.29,10.16
2018-01-01,"Sacramento County, CA",06067,19102,29.6,38.66,38.76,3328.53,27.33,11.49
2018-01-01,"Unidentified Counties, LA",22999,18874,26.78,37.99,37.9,3168.63,28.54,11.93
2018-01-01,"Franklin County, OH",39049,18338,29.25,38.42,38.53,3235.98,26.76,10.91
2018-01-01,"Alameda County, CA",06001,18240,31.61,38.65,38.76,3280.05,25.93,10.68
2018-01-01,"Unidentified Counties, NY",36999,18122,28.47,38.71,38.93,3347.42,28.46,11.5
2018-01-01,"Hillsborough County, FL",12057,17126,28.97,38.41,38.5,3230.36,26.75,10.64
2018-01-01,"New York County, NY",36061,17020,32.55,38.63,38.71,3224.47,24.02,11.63
2018-01-01,"Orange County, FL",12095,16919,29.65,38.34,38.44,3232.26,26.61,9.27
2018-01-01,"Middlesex County, MA",25017,16603,32.15,38.69,38.88,3302.67,25.38,11.88
2018-01-01,"Unidentified Counties, KS",20999,16535,27.53,38.44,38.49,3300.32,27.87,11.01
2018-01-01,"Salt Lake County, UT",49035,15998,29.02,38.41,38.58,3242.21,26.34,11.01
2018-01-01,"Unidentified Counties, PA",42999,15927,27.82,38.61,38.82,3310.5,27.75,11.12
2018-01-01,"Hennepin County, MN",27053,15845,30.91,38.71,38.81,3315.62,26.51,12.0
2018-01-01,"Suffolk County, NY",36103,15278,30.85,38.47,38.63,3266.46,26.97,10.94
2018-01-01,"Travis County, TX",48453,15125,30.06,38.46,38.59,3274.5,25.96,12.26
